	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
	Local patents	Local patents	Local patents	Local patents	Patent spillover	Patent spillover	Patent spillover	Patent spillover
VARIABLES	2y lag	2y lag	4y lag	4y lag	2y lag	2y lag	4y lag	4y lag
								
OthGov_share	0.979705		0.543721		0.905052		0.440715	
	(0.630444)		(0.731079)		(0.650442)		(0.745714)	
Corp_share	9.011086***		8.382800***		9.002215***		8.368990***	
	(2.101995)		(2.533929)		(2.102212)		(2.533613)	
Noprof_share	8.038313***		6.324266**		7.901086***		6.081992**	
	(2.298091)		(2.671208)		(2.320483)		(2.714698)	
ln_Totfund	0.349266***		0.374497***		0.350540***		0.376360***	
	(0.013125)		(0.015056)		(0.013417)		(0.015313)	
FoU_share	1.583675***		1.239413**		1.514013***		1.141258**	
	(0.455480)		(0.521606)		(0.480169)		(0.544635)	
F2.ln_Pat_x					0.017168			
					(0.024946)			
Category_2	0.895763***		1.042787***		0.877552***		1.017837***	
	(0.052374)		(0.064246)		(0.060259)		(0.073854)	
Category_3	-0.087262		0.008932		-0.092120		0.004189	
	(0.081835)		(0.095160)		(0.082503)		(0.095767)	
Category_4	0.250929***		0.344289***		0.250026***		0.342636***	
	(0.060975)		(0.073859)		(0.060943)		(0.073787)	
Year_2	-0.064490		-0.036497		-0.063993		-0.037099	
	(0.088287)		(0.088183)		(0.088323)		(0.088042)	
Year_3	-0.324904***		-0.126710		-0.320253***		-0.126737	
	(0.086492)		(0.090473)		(0.086470)		(0.090168)	
Year_4	-0.324917***		-0.147929*		-0.320068***		-0.147095*	
	(0.084769)		(0.086699)		(0.084725)		(0.086425)	
Year_5	-0.457174***		-0.101813		-0.451918***		-0.100712	
	(0.087745)		(0.087306)		(0.087310)		(0.087108)	
Year_6	-0.472989***		-0.120845		-0.467203***		-0.120448	
	(0.084911)		(0.090622)		(0.084575)		(0.090425)	
Year_7	-0.422861***		-0.310083***		-0.416754***		-0.306040***	
	(0.085159)		(0.094632)		(0.085015)		(0.094368)	
Year_8	-0.427280***		-0.160011*		-0.421420***		-0.156766*	
	(0.089140)		(0.090376)		(0.089358)		(0.090026)	
Year_9	-0.580222***		-0.223032**		-0.571811***		-0.218379**	
	(0.094476)		(0.091139)		(0.094834)		(0.090698)	
Year_10	-0.479950***		-0.257445***		-0.472377***		-0.255575***	
	(0.088735)		(0.096264)		(0.088775)		(0.096172)	
Year_11	-0.553333***		-0.282481***		-0.545166***		-0.278658***	
	(0.088450)		(0.100349)		(0.088568)		(0.100077)	
Year_12	-0.590961***				-0.584810***			
	(0.094493)				(0.094307)			
Year_13	-0.590151***				-0.583089***			
	(0.098040)				(0.098132)			
F4.ln_Pat_x							0.024894	
							(0.029405)	
Constant	-3.469217***		-3.719926***		-3.419608***		-3.643425***	
	(0.454393)		(0.520342)		(0.468840)		(0.535215)	
								
Observations	1,073	1,073	893	893	1,073	1,073	893	893
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
